Brand,Year,Kilometers,Fuel,Transmission,Owner,Mileage,Engine,Power,Seats,Price
Mercedes-Benz,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,30
BMW,2010,65329,Petrol,Automatic,First,7.94,4395,450,4,20.72
BMW,2011,5900,Petrol,Automatic,First,7.94,4395,450,4,47.5
Mercedes-Benz,2010,35000,Petrol,Automatic,First,8.1,5461,387.3,2,29.5
BMW,2013,49000,Diesel,Automatic,First,8.2,2993,245,4,29
BMW,2014,51240,Diesel,Automatic,First,8.2,2993,245,4,29.52
Audi,2008,71000,Petrol,Automatic,First,8.3,4134,250,7,11.99
BMW,2008,66000,Petrol,Automatic,Second,8.45,2979,321,5,10.75
Mercedes-Benz,2009,66000,Diesel,Automatic,Second,8.7,2987,224.34,5,10.75
Mercedes-Benz,2009,53000,Diesel,Automatic,First,8.7,2987,224.34,5,13.75
Mercedes-Benz,2009,102002,Diesel,Automatic,First,8.7,2987,224.34,5,10.75
BMW,2010,50161,Petrol,Automatic,First,8.77,4395,402,5,25.93
Honda,2006,120000,Petrol,Automatic,Second,9,2997,218,5,2.65
BMW,2011,75871,Petrol,Automatic,First,9.43,2996,254,5,14.12
Mercedes-Benz,2008,62000,Petrol,Automatic,First,9.5,2997,231.1,5,7
BMW,2011,30000,Diesel,Automatic,First,9.52,2993,313,4,49
BMW,2013,30000,Diesel,Automatic,First,9.52,2993,313,4,45
Maruti,2008,77000,Petrol,Automatic,Fourth & Above,9.7,1995,163.5,5,5.5
Audi,2009,99100,Petrol,Automatic,Second,9.74,1984,208,5,10
Audi,2011,59967,Petrol,Automatic,First,9.74,1984,208,5,18
Honda,2012,42000,Petrol,Manual,First,9.8,2354,180,5,6.25
Honda,2009,60000,Petrol,Manual,Second,9.8,2354,180,5,3.5
Maruti,2008,46810,Petrol,Manual,First,9.8,1995,163.5,5,3.95
Honda,2009,79000,Petrol,Manual,Third,9.8,2354,180,5,3.1
Audi,2013,12100,Petrol,Automatic,First,9.9,1984,207.8,2,29.5
Audi,2014,14262,Petrol,Automatic,First,9.9,1984,207.8,2,27.35
Mercedes-Benz,2010,29000,Diesel,Automatic,First,9.9,3498,271.72,4,32
Mercedes-Benz,2013,70000,Diesel,Automatic,First,10,2148,170,5,15.8
Mercedes-Benz,2013,34700,Diesel,Automatic,First,10,2148,170,5,24.5
Mercedes-Benz,2013,45200,Diesel,Automatic,First,10,2148,170,5,23
Mercedes-Benz,2015,7501,Petrol,Automatic,First,10,2996,333,4,48
Mercedes-Benz,1998,55300,Diesel,Automatic,First,10,1796,157.7,5,3.9
Mercedes-Benz,2009,28888,Petrol,Automatic,First,10,2496,157.7,5,7.56
Mercedes-Benz,2008,77000,Petrol,Automatic,Second,10,2496,157.7,5,6.5
Mercedes-Benz,2013,58000,Diesel,Automatic,First,10,2148,170,5,15.75
Mercedes-Benz,2012,100000,Petrol,Automatic,First,10,2496,157.7,5,11.5
Mercedes-Benz,2013,60000,Diesel,Automatic,First,10,2148,170,5,27
Honda,2010,94000,Petrol,Automatic,Second,10.1,2354,152,5,4.8
Honda,2008,82167,Petrol,Automatic,First,10.1,2354,152,5,5.4
Honda,2007,115800,Petrol,Automatic,Third,10.1,2354,152,5,3.8
Honda,2014,88046,Petrol,Automatic,First,10.1,2354,152,5,13.99
Honda,2015,35000,Petrol,Automatic,First,10.1,2354,152,5,14.7
